date,product,sales
2024-01-01,Product_A,82.48
2024-01-02,Product_A,87.13
2024-01-03,Product_A,92.99
2024-01-04,Product_A,91.95
2024-01-05,Product_A,74.49
2024-01-06,Product_A,69.08
2024-01-07,Product_A,80.08
2024-01-08,Product_A,83.84
2024-01-09,Product_A,85.47
2024-01-10,Product_A,92.46
2024-01-11,Product_A,82.02
2024-01-12,Product_A,73.33
2024-01-13,Product_A,71.46
2024-01-14,Product_A,62.62
2024-01-15,Product_A,71.38
2024-01-16,Product_A,85.01
2024-01-17,Product_A,84.69
2024-01-18,Product_A,85.91
2024-01-19,Product_A,71.12
2024-01-20,Product_A,63.19
2024-01-21,Product_A,79.51
2024-01-22,Product_A,78.87
2024-01-23,Product_A,88.16
2024-01-24,Product_A,82.63
2024-01-25,Product_A,81.62
2024-01-26,Product_A,76.22
2024-01-27,Product_A,64.5
2024-01-28,Product_A,74.06
2024-01-29,Product_A,77.0
2024-01-30,Product_A,86.36
2024-01-31,Product_A,86.74
2024-02-01,Product_A,93.6
2024-02-02,Product_A,75.59
2024-02-03,Product_A,64.96
2024-02-04,Product_A,76.29
2024-02-05,Product_A,73.9
2024-02-06,Product_A,88.86
2024-02-07,Product_A,79.95
2024-02-08,Product_A,77.7
2024-02-09,Product_A,76.65
2024-02-10,Product_A,73.94
2024-02-11,Product_A,73.04
2024-02-12,Product_A,79.42
2024-02-13,Product_A,86.31
2024-02-14,Product_A,82.36
2024-02-15,Product_A,80.74
2024-02-16,Product_A,73.36
2024-02-17,Product_A,75.54
2024-02-18,Product_A,73.9
2024-02-19,Product_A,71.18
2024-02-20,Product_A,89.44
2024-02-21,Product_A,87.82
2024-02-22,Product_A,80.95
2024-02-23,Product_A,78.72
2024-02-24,Product_A,75.41
2024-02-25,Product_A,76.84
2024-02-26,Product_A,75.8
2024-02-27,Product_A,86.27
2024-02-28,Product_A,91.41
2024-02-29,Product_A,89.22
2024-03-01,Product_A,73.27
2024-03-02,Product_A,69.32
2024-03-03,Product_A,66.65
2024-03-04,Product_A,74.02
2024-03-05,Product_A,91.88
2024-03-06,Product_A,96.53
2024-03-07,Product_A,83.98
2024-03-08,Product_A,80.68
2024-03-09,Product_A,72.06
2024-03-10,Product_A,68.96
2024-03-11,Product_A,81.81
2024-03-12,Product_A,95.51
2024-03-13,Product_A,89.57
2024-03-14,Product_A,92.16
2024-03-15,Product_A,62.56
2024-03-16,Product_A,74.36
2024-03-17,Product_A,72.62
2024-03-18,Product_A,78.5
2024-03-19,Product_A,88.28
2024-03-20,Product_A,79.81
2024-03-21,Product_A,83.24
2024-03-22,Product_A,77.45
2024-03-23,Product_A,77.64
2024-03-24,Product_A,69.59
2024-03-25,Product_A,75.96
2024-03-26,Product_A,85.31
2024-03-27,Product_A,94.33
2024-03-28,Product_A,85.98
2024-03-29,Product_A,73.01
2024-03-30,Product_A,72.82
2024-03-31,Product_A,72.67
2024-04-01,Product_A,84.84
2024-04-02,Product_A,84.31
2024-04-03,Product_A,88.11
2024-04-04,Product_A,82.38
2024-04-05,Product_A,68.34
2024-04-06,Product_A,71.73
2024-04-07,Product_A,73.49
2024-04-08,Product_A,80.03
2024-04-09,Product_A,86.65
2024-04-10,Product_A,82.67
2024-04-11,Product_A,82.24
2024-04-12,Product_A,73.95
2024-04-13,Product_A,66.24
2024-04-14,Product_A,71.38
2024-04-15,Product_A,82.02
2024-04-16,Product_A,97.25
2024-04-17,Product_A,90.62
2024-04-18,Product_A,85.63
2024-04-19,Product_A,75.29
2024-04-20,Product_A,60.66
2024-04-21,Product_A,72.05
2024-04-22,Product_A,80.3
2024-04-23,Product_A,100.13
2024-04-24,Product_A,88.79
2024-04-25,Product_A,85.85
2024-04-26,Product_A,75.49
2024-04-27,Product_A,64.41
2024-04-28,Product_A,77.9
2024-04-29,Product_A,83.76
2024-04-30,Product_A,91.77
2024-05-01,Product_A,85.2
2024-05-02,Product_A,91.35
2024-05-03,Product_A,68.65
2024-05-04,Product_A,73.19
2024-05-05,Product_A,83.13
2024-05-06,Product_A,75.05
2024-05-07,Product_A,84.99
2024-05-08,Product_A,90.25
2024-05-09,Product_A,81.82
2024-05-10,Product_A,67.91
2024-05-11,Product_A,70.59
2024-05-12,Product_A,66.87
2024-05-13,Product_A,82.37
2024-05-14,Product_A,83.22
2024-05-15,Product_A,97.5
2024-05-16,Product_A,80.42
2024-05-17,Product_A,74.05
2024-05-18,Product_A,74.32
2024-05-19,Product_A,66.03
2024-05-20,Product_A,81.14
2024-05-21,Product_A,94.35
2024-05-22,Product_A,81.71
2024-05-23,Product_A,85.26
2024-05-24,Product_A,76.96
2024-05-25,Product_A,74.16
2024-05-26,Product_A,66.0
2024-05-27,Product_A,73.4
2024-05-28,Product_A,90.43
2024-05-29,Product_A,91.23
2024-05-30,Product_A,85.59
2024-05-31,Product_A,77.39
